Treinamento iniciado em 2025-05-22 12:54:41.406918
Episódio 335: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 336: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 337: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 338: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 339: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 340: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 341: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 342: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 343: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 344: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 345: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 346: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 347: Recompensa=7.60, Passos=14, Epsilon=0.050
Episódio 348: Recompensa=8.40, Passos=10, Epsilon=0.050
Episódio 349: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 350: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 351: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 352: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 353: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 354: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 355: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 356: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 357: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 358: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 359: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 360: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 361: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 362: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 363: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 364: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 365: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 366: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 367: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 368: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 369: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 370: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 371: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 372: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 373: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 374: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 375: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 376: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 377: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 378: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 379: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 380: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 381: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 382: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 383: Recompensa=18.00, Passos=11, Epsilon=0.050
Episódio 384: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 385: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 386: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 387: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 388: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 389: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 390: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 391: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 392: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 393: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 394: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 395: Recompensa=18.00, Passos=11, Epsilon=0.050
Episódio 396: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 397: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 398: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 399: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 400: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 401: Recompensa=18.00, Passos=11, Epsilon=0.050
Episódio 402: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 403: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 404: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 405: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 406: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 407: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 408: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 409: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 410: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 411: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 412: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 413: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 414: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 415: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 416: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 417: Recompensa=18.40, Passos=9, Epsilon=0.050
